datasetnum,channel,freq,mean_power_over_segments,mean_powerDensity_over_segments,epoch_length_seconds,segment_length_seconds,segments_overlap_proportion,segment_count,consecutive_ROI_count,guaranteed_ROI_segment_coverage_seconds,frequency_true_resolution_calculation,arb_energy_over_segments,arb_energy_over_segments_per_ROI_seconds,mean_power_over_segments_times_ROI_seconds,arb_energyDensity_over_segments,arb_energyDensity_over_segments_per_ROI_seconds,mean_powerDensity_over_segments_times_ROI_seconds,lengths_ROI_Seconds
1,C3A2 EEG,0.6,27.03455,90.2954,30,5,0.9,27723,53,14073.5,0.2,749478.8,53.15453,381187.2,2503259,177.5361,1273165,14100
1,C3A2 EEG,0.8,31.5507,105.3793,30,5,0.9,27723,53,14073.5,0.2,874680,62.03404,444864.8,2921431,207.1937,1485849,14100
1,C3A2 EEG,1,30.87755,103.131,30,5,0.9,27723,53,14073.5,0.2,856018.2,60.71051,435373.4,2859101,202.7731,1454147,14100
1,C3A2 EEG,1.2,25.87463,86.42128,30,5,0.9,27723,53,14073.5,0.2,717322.5,50.87393,364832.3,2395857,169.9189,1218540,14100
1,C3A2 EEG,1.4,18.97649,63.38149,30,5,0.9,27723,53,14073.5,0.2,526085.4,37.31102,267568.6,1757125,124.6188,893679,14100
1,C3A2 EEG,1.6,15.13132,50.53861,30,5,0.9,27723,53,14073.5,0.2,419485.6,29.75075,213351.6,1401082,99.36751,712594.4,14100
1,C3A2 EEG,1.8,13.15321,43.93171,30,5,0.9,27723,53,14073.5,0.2,364646.3,25.86144,185460.2,1217919,86.37721,619437.1,14100
1,C3A2 EEG,2,11.72205,39.15166,30,5,0.9,27723,53,14073.5,0.2,324970.5,23.04755,165281,1085401,76.97883,552038.4,14100
1,C3A2 EEG,2.2,10.22653,34.15662,30,5,0.9,27723,53,14073.5,0.2,283510.2,20.10711,144194.1,946924,67.15773,481608.4,14100
1,C3A2 EEG,2.4,9.221672,30.80039,30,5,0.9,27723,53,14073.5,0.2,255652.4,18.13138,130025.6,853879.1,60.5588,434285.4,14100
1,C3A2 EEG,2.6,7.949374,26.55091,30,5,0.9,27723,53,14073.5,0.2,220380.5,15.62982,112086.2,736070.9,52.20361,374367.8,14100
1,C3A2 EEG,2.8,7.024336,23.46128,30,5,0.9,27723,53,14073.5,0.2,194735.7,13.81104,99043.13,650417.1,46.12887,330804.1,14100
1,C3A2 EEG,3,6.116675,20.42969,30,5,0.9,27723,53,14073.5,0.2,169572.6,12.02642,86245.11,566372.4,40.16825,288058.7,14100
