datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
1,C3A2 EEG,496,1.055319,1.127883,119.429,-559.0321,-328.8246,578.6234,321.5197,0.886617,0.939857,30,14100,-37.21823,69.13575,36.02271,-65.76311,53.66591
1,C4A1 EEG,482,1.025532,1.121846,132.3491,-624.1737,-357.81,650.336,369.2404,0.891388,0.956805,30,14100,-40.39625,75.62883,39.80669,-72.7835,59.56564
2,C3A2 EEG,702,1.281022,1.134487,160.4667,-673.6255,-381.6093,742.2728,449.3214,0.881456,1.029265,30,16440,-45.90201,85.99791,48.72934,-87.847,72.61972
2,C4A1 EEG,742,1.354015,1.184326,147.607,-613.5301,-340.6821,689.1512,398.7389,0.844362,0.953752,30,16440,-43.75178,82.53095,44.64722,-79.34265,68.26435
3,C3A2 EEG,1034,1.623234,1.23972,153.2342,-633.4025,-342.7972,694.2128,370.4258,0.806634,0.853304,30,19110,-45.68588,86.93344,45.97297,-81.70002,71.53413
3,C4A1 EEG,853,1.339089,1.217515,149.0024,-633.6369,-344.0337,685.5087,375.6205,0.821345,0.886547,30,19110,-44.65979,85.47103,44.65618,-78.93617,70.0662
4,C3A2 EEG,1278,2.081433,1.251455,207.7919,-822.0047,-433.3659,899.7626,533.0749,0.79907,0.9294,30,18420,-59.66396,111.7365,62.60528,-112.0598,95.73211
4,C4A1 EEG,1218,1.983713,1.243974,220.7313,-875.1516,-473.2998,942.2095,551.3159,0.803875,0.89965,30,18420,-63.61674,119.7936,66.69694,-118.6357,102.0956
5,C3A2 EEG,712,1.292196,1.205899,138.5345,-569.0998,-309.7626,622.6439,334.9111,0.829257,0.883638,30,16530,-41.96971,80.18062,41.70275,-72.77956,65.75496
5,C4A1 EEG,776,1.408348,1.32326,149.2039,-583.2689,-304.9805,644.6783,314.6703,0.755709,0.788634,30,16530,-42.40408,80.80524,44.7027,-78.51233,70.69161
6,C3A2 EEG,662,1.396624,1.129094,150.3385,-640.9734,-361.6628,700.3806,393.3803,0.885666,0.973873,30,14220,-44.92846,85.24512,45.83907,-79.98268,70.3558
6,C4A1 EEG,689,1.453586,1.145747,155.7148,-651.0954,-354.7075,707.9596,391.6435,0.872793,0.952552,30,14220,-47.33051,89.70217,47.46415,-82.86776,72.84709
7,C3A2 EEG,713,1.163132,1.135624,148.9981,-622.0104,-352.4626,696.6402,429.7885,0.880573,1.039995,30,18390,-44.13027,81.77182,45.30803,-81.94794,67.0502
7,C4A1 EEG,764,1.24633,1.150183,152.686,-629.4615,-355.6247,685.4277,434.9131,0.869427,1.024816,30,18390,-46.1623,84.78732,46.59047,-85.08416,67.60185
8,C3A2 EEG,1042,1.630673,1.137044,237.0865,-888.1752,-486.2039,1080.422,661.3044,0.879473,1.094952,30,19170,-60.08809,113.671,71.82156,-124.9472,112.1393
8,C4A1 EEG,1089,1.704225,1.154959,222.6963,-852.4331,-469.726,1019.838,626.2347,0.865832,1.060473,30,19170,-59.22935,110.6871,67.47036,-119.5143,103.182
9,C3A2 EEG,860,1.857451,1.235267,183.8527,-746.6706,-425.1907,770.5661,454.2887,0.809541,0.869284,30,13890,-56.76375,105.5135,56.13499,-100.501,83.35173
9,C4A1 EEG,899,1.941685,1.301969,185.7323,-752.2099,-410.1612,770.5495,439.6972,0.768068,0.81573,30,13890,-58.34193,108.3818,56.16679,-102.1881,83.5442
10,C3A2 EEG,852,1.486911,1.270962,228.1495,-786.6155,-405.2388,1090.516,520.5051,0.786805,0.902198,30,17190,-56.60809,113.2593,68.56382,-107.7875,120.362
10,C4A1 EEG,820,1.431065,1.193427,180.8984,-737.7683,-411.7134,808.659,486.6479,0.837923,0.934835,30,17190,-52.56162,98.39228,54.81761,-98.54459,82.35381
11,C3A2 EEG,774,1.477099,1.16469,164.8885,-697.202,-383.8883,791.4712,481.5123,0.858598,0.994731,30,15720,-49.08007,91.34445,49.58638,-91.04483,73.84368
11,C4A1 EEG,753,1.437023,1.1649,165.7786,-694.2748,-379.0711,815.382,486.2012,0.858442,1.007331,30,15720,-49.61842,93.12051,49.63645,-89.20584,76.57273
12,C3A2 EEG,1133,1.727134,1.197052,177.7237,-718.9982,-386.2343,818.958,471.9383,0.835386,0.935652,30,19680,-51.22295,97.37318,53.69621,-94.68429,83.03941
12,C4A1 EEG,1208,1.841463,1.244478,168.7575,-691.5505,-368.0922,760.2797,420.0082,0.803549,0.867866,30,19680,-50.54303,95.50794,50.73578,-90.04498,78.71253
13,C3A2 EEG,589,1.150391,1.131222,150.9586,-742.6509,-431.1,756.6726,436.6695,0.883999,0.959408,30,15360,-48.11762,89.6183,44.99538,-83.86363,67.09497
13,C4A1 EEG,617,1.205078,1.172609,149.2617,-700.9127,-397.0104,716.7486,403.3659,0.852799,0.910567,30,15360,-47.78446,89.34716,44.32449,-82.16665,67.09505
14,C3A2 EEG,423,1.205128,1.182104,132.2082,-594.4776,-341.3255,568.9949,309.0056,0.845949,0.872093,30,10530,-42.11115,79.63534,40.24003,-70.68564,61.52259
14,C4A1 EEG,456,1.299145,1.201425,137.4609,-605.7516,-349.3995,586.0801,322.663,0.832345,0.840801,30,10530,-44.22802,83.51438,41.6818,-73.8579,63.603
15,C3A2 EEG,893,1.518707,1.320381,123.3711,-511.5951,-276.7546,525.2164,249.1446,0.757357,0.744613,30,17640,-39.24707,75.07572,36.54119,-64.77176,58.59938
15,C4A1 EEG,907,1.542517,1.289846,140.2463,-605.0928,-339.0952,590.3384,303.5373,0.775287,0.763237,30,17640,-43.674,82.91076,41.75944,-75.37959,64.86668
16,C3A2 EEG,493,0.813531,1.110852,128.1432,-543.63,-315.0821,601.8453,362.6639,0.90021,1.053554,30,18180,-38.70639,72.83372,38.68492,-69.27473,58.86851
16,C4A1 EEG,496,0.818482,1.105827,126.9421,-542.6352,-315.01,598.922,363.8807,0.904301,1.065704,30,18180,-37.89462,71.15271,38.09626,-68.63824,58.30382
17,C3A2 EEG,426,0.955157,1.117653,180.7724,-908.3916,-523.1415,890.3298,529.3363,0.894732,0.934292,30,13380,-52.83298,97.18797,54.04602,-101.2496,79.52278
17,C4A1 EEG,482,1.080717,1.136556,174.3316,-885.4418,-509.7228,829.6058,483.0052,0.879851,0.898382,30,13380,-51.73299,95.03554,52.33029,-98.09149,76.24015
18,C3A2 EEG,433,0.854043,1.089307,149.1088,-694.0345,-379.5956,784.3284,451.4971,0.918015,1.033709,30,15210,-46.01366,87.36793,44.16594,-80.23564,68.87313
18,C4A1 EEG,388,0.765286,1.09951,155.0325,-727.1693,-384.2504,809.9774,462.597,0.909496,1.016558,30,15210,-46.56478,88.17092,46.01943,-83.40146,71.63102
19,C3A2 EEG,1192,1.901116,1.265923,167.5032,-668.9952,-364.984,732.3352,421.7107,0.789938,0.870111,30,18810,-50.21192,93.98413,50.76139,-91.59851,75.90467
19,C4A1 EEG,1258,2.00638,1.275413,156.7686,-629.5751,-335.9944,675.0627,389.9648,0.78406,0.858305,30,18810,-48.30678,90.52317,47.4034,-85.74198,71.02661
20,C3A2 EEG,879,1.395238,1.202082,205.8729,-830.2997,-458.6691,917.0078,546.2637,0.83189,0.954335,30,18900,-58.19114,109.1059,62.43978,-112.9746,92.8983
20,C4A1 EEG,952,1.511111,1.178183,223.9493,-924.2747,-523.7718,1010.037,611.3157,0.848765,0.950214,30,18900,-64.34264,119.2968,68.04458,-124.1624,99.78689
21,C3A2 EEG,880,1.620626,1.138284,201.8607,-839.4079,-451.4527,993.4003,586.3818,0.878515,1.035221,30,16290,-58.21523,109.4345,61.70865,-108.5434,93.31722
21,C4A1 EEG,871,1.604052,1.139334,202.4887,-803.5296,-417.3496,1032.296,621.2756,0.877706,1.104741,30,16290,-57.41367,110.0533,61.63262,-107.6493,94.83931
22,C3A2 EEG,1374,2.252459,1.243399,197.0248,-792.2767,-449.0716,770.8795,462.0199,0.804247,0.854424,30,18300,-57.86738,106.9866,60.62237,-108.9139,88.11087
22,C4A1 EEG,1361,2.231148,1.278207,194.2632,-761.0258,-428.7043,743.66,440.9426,0.782346,0.822317,30,18300,-57.68827,106.6916,59.64799,-106.6568,87.60643
