datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
1,C3A2 EEG,928,1.974468,0.751735,23.45456,13.033787,30,0,14100,2.921145,1.5,1.5,12.5,14.5,13.5,6.764822,9.813578,9.782328,-0.055077,13.389559,0.464172
1,C4A1 EEG,961,2.044681,0.73052,28.25824,13.052861,30,0,14100,3.496774,1.5,1.5,12.5,14.5,13.5,8.209299,9.531738,9.539022,-0.104182,13.446063,0.482527
2,C3A2 EEG,1050,1.916058,0.815629,26.96425,13.034061,30,0,16440,2.849224,1.5,1.5,12.5,14.5,13.5,7.362726,10.622857,10.639048,-0.301965,13.469344,0.432516
2,C4A1 EEG,995,1.815693,0.819678,27.58125,13.028152,30,0,16440,2.924204,1.5,1.5,12.5,14.5,13.5,7.491672,10.686432,10.671357,-0.211311,13.430067,0.414367
3,C3A2 EEG,1579,2.478807,0.856732,41.3624,13.533982,30,0,19110,4.855253,1.5,1.5,12.9,14.9,13.9,11.70692,11.60038,11.589614,-0.046164,13.863783,0.442065
3,C4A1 EEG,1528,2.398744,0.866361,38.00516,13.656897,30,0,19110,4.446389,1.5,1.5,12.9,14.9,13.9,10.78217,11.834424,11.829188,-0.071222,13.983351,0.431113
4,C3A2 EEG,1128,1.837134,0.741835,22.9749,13.29545,30,0,18420,2.724251,1.5,1.5,12.8,14.8,13.8,6.549014,9.867908,9.858156,-0.51557,13.852825,0.509237
4,C4A1 EEG,1100,1.791531,0.746091,24.61167,13.316681,30,0,18420,2.964433,1.5,1.5,12.8,14.8,13.8,7.056618,9.915455,9.955455,-0.419126,13.818037,0.475618
5,C3A2 EEG,1442,2.61706,0.832698,42.00663,12.167395,30,0,16530,5.108869,1.5,1.5,11.5,13.5,12.5,12.16696,10.150485,10.113037,-0.421584,12.649708,0.526408
5,C4A1 EEG,1277,2.317604,0.822803,35.57298,12.144529,30,0,16530,4.378708,1.5,1.5,11.5,13.5,12.5,10.28456,9.996868,9.988254,-0.441442,12.625066,0.520481
6,C3A2 EEG,1118,2.35865,0.753685,30.85777,13.322731,30,0,14220,3.506586,1.5,1.5,12.7,14.7,13.7,8.765131,10.029517,10.052773,-0.307475,13.786118,0.508591
6,C4A1 EEG,1091,2.301688,0.754592,29.75321,13.286811,30,0,14220,3.422782,1.5,1.5,12.7,14.7,13.7,8.431495,10.012832,10.039413,-0.335312,13.770841,0.470926
7,C3A2 EEG,1596,2.603589,0.859029,32.67299,12.846733,30,0,18390,3.950621,1.5,1.5,12.2,14.2,13.2,9.405169,11.042607,11.028822,-0.201607,13.230664,0.487849
7,C4A1 EEG,1537,2.507341,0.858126,31.63854,12.903544,30,0,18390,3.910975,1.5,1.5,12.2,14.2,13.2,9.137365,11.070267,11.075472,-0.179358,13.26879,0.464112
8,C3A2 EEG,1474,2.306729,0.843263,35.47817,12.769013,30,0,19170,4.193192,1.5,1.5,12.2,14.2,13.2,10.08445,10.759837,10.775441,-0.327559,13.19888,0.459898
8,C4A1 EEG,1493,2.336463,0.835111,34.5454,12.75565,30,0,19170,4.102873,1.5,1.5,12.2,14.2,13.2,9.816985,10.641661,10.663094,-0.272296,13.169743,0.430201
9,C3A2 EEG,1099,2.37365,0.739399,27.21484,12.986709,30,0,13890,2.869548,1.5,1.5,12.3,14.3,13.3,7.600203,9.593267,9.611465,-0.215336,13.418511,0.505261
9,C4A1 EEG,1094,2.362851,0.744872,28.22436,12.929966,30,0,13890,2.989614,1.5,1.5,12.3,14.3,13.3,7.862557,9.631627,9.630713,-0.301989,13.364128,0.499889
10,C3A2 EEG,1022,1.783595,0.743953,19.15421,13.581124,30,0,17190,2.057427,1.5,1.5,13,15,14,5.316624,10.098826,10.108611,-0.299734,14.04999,0.491347
10,C4A1 EEG,891,1.554974,0.758485,19.67687,13.565943,30,0,17190,2.092744,1.5,1.5,13,15,14,5.417542,10.285073,10.294052,-0.277376,14.011658,0.465152
11,C3A2 EEG,1259,2.402672,0.794948,30.77755,12.914652,30,0,15720,3.559443,1.5,1.5,12.3,14.3,13.3,8.745388,10.264496,10.268467,-0.290113,13.348892,0.49335
11,C4A1 EEG,1322,2.522901,0.807148,33.88046,12.995642,30,0,15720,3.922963,1.5,1.5,12.3,14.3,13.3,9.661245,10.493192,10.485628,-0.295082,13.423564,0.499111
12,C3A2 EEG,1568,2.390244,0.727577,31.14334,13.129361,30,0,19680,3.436906,1.5,1.5,12.5,14.5,13.5,8.818469,9.556122,9.549107,-0.347945,13.587455,0.527064
12,C4A1 EEG,1401,2.135671,0.709065,27.78494,13.07731,30,0,19680,3.196529,1.5,1.5,12.5,14.5,13.5,7.934351,9.271235,9.27409,-0.33023,13.545833,0.524273
13,C3A2 EEG,1262,2.464844,0.689628,27.1993,13.581942,30,0,15360,2.685706,1.5,1.5,13,15,14,7.605507,9.353407,9.379556,-0.140339,14.010248,0.540402
13,C4A1 EEG,1248,2.4375,0.694559,26.96285,13.572178,30,0,15360,2.641823,1.5,1.5,13,15,14,7.521945,9.43109,9.422276,-0.170594,14.003492,0.537009
14,C3A2 EEG,706,2.011396,0.773725,23.91908,13.073684,30,0,10530,2.849931,1.5,1.5,12.5,14.5,13.5,6.826261,10.101983,10.128895,-0.175309,13.476768,0.444727
14,C4A1 EEG,538,1.532764,0.729145,24.59265,12.99327,30,0,10530,2.999686,1.5,1.5,12.5,14.5,13.5,7.091718,9.488848,9.459108,-0.143057,13.405145,0.494673
15,C3A2 EEG,1145,1.947279,0.734786,33.70697,12.830875,30,0,17640,4.066952,1.5,1.5,12.2,14.2,13.2,9.677927,9.421834,9.434061,-0.26406,13.265765,0.483724
