datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
1,C3-TP10,1122,1.755869,1.294305,177.3984,-767.0356,-446.7858,716.99,409.8268,0.772616,0.843558,30,19170,-49.16828,88.63843,54.99762,-104.4757,72.92273
1,C4-TP9,1043,1.632238,1.286491,194.2599,-849.4134,-502.1483,764.2551,443.7321,0.777308,0.860447,30,19170,-54.69842,96.34133,60.17913,-116.6373,77.62264
2,C3-TP10,553,1.19181,1.292297,110.7191,-467.554,-256.8655,485.9178,249.587,0.773816,0.804621,30,13920,-35.41449,66.36843,33.29881,-59.51984,51.19924
2,C4-TP9,670,1.443966,1.333104,144.9683,-644.3708,-357.4153,625.0147,347.5493,0.750129,0.803184,30,13920,-45.60352,82.26731,43.54902,-84.8084,60.15992
3,C3-TP10,923,1.498377,1.252535,175.4901,-762.6828,-436.0363,813.8219,479.8202,0.798381,0.906519,30,18480,-50.69191,90.77778,53.03033,-103.761,71.72906
3,C4-TP9,1055,1.712662,1.26236,182.4046,-806.5271,-463.4532,823.2641,482.6854,0.792167,0.890686,30,18480,-53.61818,95.60216,55.09077,-108.5461,73.85847
4,C3-TP10,629,1.3159,1.275374,125.8528,-542.3889,-317.2083,531.0841,282.1871,0.784084,0.823234,30,14340,-38.79076,70.95387,38.24108,-71.11647,54.73633
4,C4-TP9,713,1.491632,1.493731,185.4372,-633.8906,-365.2255,612.442,317.1817,0.669465,0.677563,30,14340,-51.12557,97.37037,59.06423,-98.13288,87.3043
5,C3-TP10,1071,1.80303,1.194342,194.0941,-895.9027,-538.4433,867.5739,506.87,0.837281,0.946514,30,17820,-60.83607,108.7334,59.45067,-113.5453,80.54881
5,C4-TP9,1064,1.791246,1.203036,213.9908,-994.5272,-601.7451,914.7758,544.8179,0.831231,0.931291,30,17820,-67.88696,119.5295,65.65033,-126.6422,87.3486
6,C3-TP10,762,1.201893,1.243189,145.8594,-623.7216,-373.2309,610.4581,366.146,0.804383,0.893108,30,19020,-44.14702,78.43358,45.19934,-86.70597,59.15347
6,C4-TP9,869,1.370662,1.285432,153.6917,-655.6799,-394.9872,616.1813,370.7615,0.777949,0.85141,30,19020,-45.60002,80.60865,47.55172,-91.96398,61.72774
7,C3-TP10,961,1.813208,1.245744,173.197,-767.1581,-440.8168,758.9979,436.3116,0.802733,0.861327,30,15900,-53.98246,98.28723,52.48133,-99.55515,73.64186
7,C4-TP9,922,1.739623,1.235499,148.3525,-651.0523,-375.1173,663.2372,374.5435,0.80939,0.873834,30,15900,-47.3623,85.64995,45.02029,-85.34372,63.00879
8,C3-TP10,1069,1.590774,1.21985,142.1572,-631.8849,-355.7402,647.5276,342.5954,0.819773,0.855419,30,20160,-43.06717,80.72222,43.26111,-78.19191,63.96528
8,C4-TP9,1230,1.830357,1.249016,150.1632,-674.4769,-376.9598,671.9688,357.2855,0.80063,0.824905,30,20160,-45.79556,83.75672,45.35444,-85.35774,64.80547
9,C3-TP10,695,1.301498,1.336561,137.4165,-585.2334,-318.0569,585.0241,295.8756,0.748189,0.769742,30,16020,-42.68702,80.46776,41.34399,-73.50368,63.91278
9,C4-TP9,680,1.273408,1.387941,126.8295,-510.6821,-265.8694,526.1374,259.2899,0.720492,0.736122,30,16020,-39.98625,76.54613,38.30705,-65.93441,60.89505
10,C3-TP10,910,1.453674,1.336571,132.4713,-608.0957,-353.1536,541.5212,301.672,0.748183,0.782728,30,18780,-41.52806,74.29591,40.132,-78.76165,53.70963
10,C4-TP9,839,1.340256,1.333754,136.422,-638.5271,-377.7311,569.4111,322.6475,0.749763,0.792901,30,18780,-42.19149,74.89526,41.27052,-82.81855,53.60342
11,C3-TP10,915,1.572165,1.245869,172.392,-777.1781,-430.7108,832.6225,465.8164,0.802653,0.906353,30,17460,-48.85387,88.90679,51.64176,-100.1808,72.21122
11,C4-TP9,964,1.656357,1.281411,188.9145,-870.4237,-498.0228,909.0638,531.8795,0.78039,0.892147,30,17460,-53.02149,93.51283,55.94901,-115.0346,73.87989
12,C3-TP10,1075,1.847079,1.353647,154.2014,-640.5234,-362.646,609.8616,325.071,0.738745,0.765451,30,17460,-46.0938,84.29189,47.0203,-87.65016,66.55128
12,C4-TP9,997,1.713058,1.354002,154.753,-642.5518,-362.6991,621.7958,339.5023,0.738551,0.780993,30,17460,-46.05961,83.69752,47.31479,-89.13036,65.62268
13,C3-TP10,1149,1.868293,1.186945,186.9574,-806.3163,-459.9628,859.808,483.9974,0.842499,0.935135,30,18450,-57.06666,104.5018,57.12299,-104.8216,82.13582
13,C4-TP9,1159,1.884553,1.218473,181.4003,-803.918,-458.7792,819.2761,463.9372,0.820699,0.881825,30,18450,-56.7545,102.9778,55.19591,-103.9959,77.40445
14,C3-TP10,287,0.514337,1.31446,121.2623,-522.3435,-300.4809,472.659,255.6506,0.760769,0.771671,30,16740,-37.57891,69.95508,36.97561,-67.44955,53.81276
14,C4-TP9,316,0.566308,1.271551,119.7698,-571.9044,-339.7967,486.0819,260.5287,0.786441,0.777177,30,16740,-38.18337,70.41082,36.64349,-68.49147,51.27833
