datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
1,C3-TP10,1498,2.344288,0.733311,18.62608,14.780155,30,0,19170,1.98647,1.5,1.5,14.2,16.2,15.2,5.232279,10.861816,10.815087,-0.199392,15.269035,0.505984
1,C4-TP9,1621,2.536776,0.737884,21.39119,14.854403,30,0,19170,2.235746,1.5,1.5,14.2,16.2,15.2,5.995249,10.954966,10.966687,-0.24079,15.362114,0.517672
2,C3-TP10,1134,2.443966,0.765291,17.57051,12.193492,30,0,13920,2.020626,1.5,1.5,11.7,13.7,12.7,4.996937,9.326279,9.336861,-0.396396,12.666038,0.494329
2,C4-TP9,1359,2.928879,0.746453,26.72989,12.228542,30,0,13920,3.046498,1.5,1.5,11.7,13.7,12.7,7.64775,9.128035,9.128035,-0.464491,12.720508,0.54657
3,C3-TP10,1684,2.733766,0.946776,31.70681,12.912937,30,0,18480,3.75454,1.5,1.5,12.2,14.2,13.2,9.046907,12.234561,12.216746,-0.21389,13.252787,0.464598
3,C4-TP9,1694,2.75,0.914581,30.51049,12.857742,30,0,18480,3.637381,1.5,1.5,12.2,14.2,13.2,8.738057,11.772137,11.746753,-0.233333,13.205825,0.483515
4,C3-TP10,1135,2.374477,0.748775,18.6323,14.628292,30,0,14340,2.025967,1.5,1.5,14,16,15,5.278517,10.962996,10.943612,-0.051377,15.050562,0.502539
4,C4-TP9,1033,2.161088,0.739903,18.47801,14.585514,30,0,14340,1.990853,1.5,1.5,14,16,15,5.187622,10.799613,10.784124,-0.036453,15.01521,0.520074
5,C3-TP10,1570,2.643098,0.771096,26.41524,13.54843,30,0,17820,2.929047,1.5,1.5,12.9,14.9,13.9,7.544229,10.438854,10.455414,-0.183475,13.951027,0.51035
5,C4-TP9,1634,2.750842,0.765092,24.81037,13.571063,30,0,17820,2.813684,1.5,1.5,12.9,14.9,13.9,7.122948,10.392289,10.373929,-0.128921,13.946923,0.520089
6,C3-TP10,1796,2.832808,0.86441,25.99163,12.681323,30,0,19020,2.928515,1.5,1.5,12.1,14.1,13.1,7.366757,10.95657,10.967149,-0.429563,13.153469,0.514722
6,C4-TP9,1686,2.659306,0.858523,25.48279,12.653457,30,0,19020,2.882113,1.5,1.5,12.1,14.1,13.1,7.214213,10.85172,10.874852,-0.402182,13.119984,0.512623
7,C3-TP10,1328,2.50566,0.740602,21.7797,13.502013,30,0,15900,2.601849,1.5,1.5,12.7,14.7,13.7,6.30748,10.001506,9.997741,0.025986,13.826995,0.49117
7,C4-TP9,1019,1.922642,0.741384,18.93355,13.353277,30,0,15900,2.291036,1.5,1.5,12.7,14.7,13.7,5.450415,9.8842,9.915604,-0.290656,13.804819,0.492398
8,C3-TP10,1680,2.5,0.89403,31.64069,13.097465,30,0,20160,3.445504,1.5,1.5,12.4,14.4,13.4,8.834082,11.691667,11.727381,-0.404753,13.555544,0.496675
8,C4-TP9,1633,2.43006,0.871212,30.18636,13.020405,30,0,20160,3.39533,1.5,1.5,12.4,14.4,13.4,8.512198,11.338028,11.349051,-0.356968,13.456399,0.487826
9,C3-TP10,1195,2.237828,0.769632,20.23554,13.657022,30,0,16020,2.367923,1.5,1.5,13.3,15.3,14.3,5.776528,10.508787,10.512971,-0.279269,14.138353,0.486501
9,C4-TP9,1061,1.986891,0.753252,18.26456,13.641141,30,0,16020,2.165068,1.5,1.5,13.3,15.3,14.3,5.239787,10.258247,10.292177,-0.295429,14.138232,0.472968
10,C3-TP10,1369,2.186901,0.779116,17.86807,12.650828,30,0,18780,2.242322,1.5,1.5,12,14,13,5.188413,9.850986,9.861943,-0.110923,12.995012,0.465175
10,C4-TP9,1129,1.803514,0.761444,17.61168,12.603092,30,0,18780,2.171389,1.5,1.5,12,14,13,5.079908,9.591674,9.601417,-0.18044,12.985801,0.470084
11,C3-TP10,1342,2.305842,0.817876,29.21752,13.101887,30,0,17460,3.508421,1.5,1.5,12.5,14.5,13.5,8.362719,10.710134,10.721311,-0.323207,13.552739,0.481678
11,C4-TP9,1244,2.137457,0.796326,29.41619,13.017978,30,0,17460,3.470021,1.5,1.5,12.5,14.5,13.5,8.34444,10.375402,10.357717,-0.251874,13.432643,0.453954
12,C3-TP10,1570,2.697595,0.922682,27.62241,12.59,30,0,17460,3.333516,1.5,1.5,11.8,13.8,12.8,7.956416,11.618471,11.61465,-0.210786,12.950219,0.462789
12,C4-TP9,1358,2.333333,0.854161,23.56984,12.441053,30,0,17460,2.848389,1.5,1.5,11.8,13.8,12.8,6.764274,10.624448,10.628866,-0.293763,12.850284,0.467741
13,C3-TP10,1452,2.360976,0.748271,27.31008,13.664185,30,0,18450,3.183309,1.5,1.5,13.1,15.1,14.1,7.825937,10.236915,10.212121,-0.237041,14.109829,0.493477
13,C4-TP9,1076,1.749593,0.723216,23.1733,13.562415,30,0,18450,2.826928,1.5,1.5,13.1,15.1,14.1,6.676057,9.805762,9.811338,-0.13393,13.977948,0.456524
14,C3-TP10,1481,2.654122,0.870871,9.750529,14.255753,30,0,16740,1.082833,1.5,1.5,13.8,15.8,14.8,2.665156,12.403106,12.426739,0.015532,14.584069,0.361718
14,C4-TP9,1428,2.55914,0.830826,10.99562,14.221776,30,0,16740,1.187496,1.5,1.5,13.8,15.8,14.8,2.985343,11.812325,11.819328,-0.060436,14.594884,0.376744
15,C3-TP10,1217,2.46856,0.814429,21.48787,13.392893,30,0,14790,2.630978,1.5,1.5,12.8,14.8,13.8,6.255369,10.910435,10.904684,-0.043012,13.726004,0.483181
15,C4-TP9,930,1.88641,0.763613,17.27929,13.229413,30,0,14790,2.163733,1.5,1.5,12.8,14.8,13.8,4.990309,10.093548,10.110753,0.044493,13.547063,0.461313
16,C3-TP10,1336,2.693548,0.795801,20.07362,13.230467,30,0,14880,2.435281,1.5,1.5,12.6,14.6,13.6,5.784486,10.53518,10.522455,-0.289654,13.675764,0.503772
16,C4-TP9,1435,2.893145,0.817331,22.42876,13.292607,30,0,14880,2.705405,1.5,1.5,12.6,14.6,13.6,6.465333,10.85784,10.87108,-0.266733,13.734208,0.511918
17,C3-TP10,1407,2.164615,0.758728,15.38377,12.7336,30,0,19500,1.889871,1.5,1.5,12.1,14.1,13.1,4.453183,9.662402,9.66027,-0.330282,13.205868,0.506472
17,C4-TP9,1142,1.756923,0.724186,14.76601,12.6188,30,0,19500,1.90754,1.5,1.5,12.1,14.1,13.1,4.3347,9.144483,9.132224,-0.275339,13.069533,0.50448
18,C3-TP10,1388,2.669231,0.810548,21.36183,13.049314,30,0,15600,2.54714,1.5,1.5,12.5,14.5,13.5,6.154361,10.581412,10.572767,-0.242515,13.45502,0.49424
