datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
1,EEGC3,1298,2.481836,0.80943,25.13827,12.50809,30,0,15690,3.047909,1.5,1.5,11.9,13.9,12.9,7.237603,10.117874,10.130971,-0.271807,12.918983,0.472488
1,EEGC4,1281,2.449331,0.824356,26.26586,12.620265,30,0,15690,3.212518,1.5,1.5,11.9,13.9,12.9,7.581426,10.392662,10.41452,-0.296416,13.03836,0.470921
2,EEGC3,1647,2.854419,0.793855,39.03994,13.326016,30,0,17310,4.107761,1.5,1.5,12.5,14.5,13.5,11.03011,10.585307,10.572556,-0.23899,13.757145,0.511827
2,EEGC4,1552,2.689775,0.777603,39.34585,13.249892,30,0,17310,4.16033,1.5,1.5,12.5,14.5,13.5,11.03926,10.289304,10.31701,-0.308503,13.694639,0.51951
3,EEGC3,1014,2.121339,0.804694,27.55782,12.737757,30,0,14340,3.35055,1.5,1.5,12,14,13,7.973624,10.240631,10.259369,-0.288661,13.171591,0.494767
3,EEGC4,1015,2.123431,0.784946,28.90624,12.711492,30,0,14340,3.520171,1.5,1.5,12,14,13,8.346331,9.951724,10.003941,-0.375056,13.197795,0.494394
4,EEGC3,1124,1.833605,0.738888,23.4075,13.291231,30,0,18390,2.786821,1.5,1.5,12.8,14.8,13.8,6.690161,9.814057,9.827402,-0.526406,13.855614,0.507927
4,EEGC4,1086,1.771615,0.743748,25.14117,13.309232,30,0,18390,3.030141,1.5,1.5,12.8,14.8,13.8,7.219114,9.890424,9.906998,-0.415918,13.818113,0.477623
5,EEGC3,1304,2.099839,0.815721,36.32015,14.052834,30,0,18630,3.485405,1.5,1.5,13.4,15.4,14.4,10.03961,11.474693,11.451687,-0.514375,14.611108,0.551719
5,EEGC4,1340,2.15781,0.803903,36.91013,14.021611,30,0,18630,3.607492,1.5,1.5,13.4,15.4,14.4,10.28322,11.273881,11.270149,-0.443245,14.561498,0.558356
